threshold,accuracy_disparity,fpr_disparity,fnr_disparity,worst_group_accuracy
0.2,0.1678246926777125,0.16782469267771247,0.020833333333333332,0.8321753073222875
0.21000000000000002,0.15446285408872262,0.1544628540887226,0.020833333333333332,0.8455371459112774
0.22000000000000003,0.13923035809727413,0.1392303580972742,0.020833333333333332,0.8607696419027259
0.23000000000000004,0.12800641368252275,0.12800641368252272,0.020833333333333332,0.8719935863174773
0.24000000000000005,0.11664885088188137,0.11664885088188134,0.020833333333333332,0.8833511491181186
0.25000000000000006,0.1072955638695885,0.10729556386958845,0.02577319587628866,0.8927044361304115
0.26000000000000006,0.094735435595938,0.094735435595938,0.02577319587628866,0.905264564404062
0.2700000000000001,0.08458043826830575,0.08458043826830572,0.02577319587628866,0.9154195617316943
0.2800000000000001,0.07536076964190275,0.07536076964190272,0.02577319587628866,0.9246392303580973
0.2900000000000001,0.06801175841795826,0.06801175841795831,0.02577319587628866,0.9319882415820417
0.3000000000000001,0.060929983965793744,0.060929983965793695,0.030927835051546393,0.9390700160342063
0.3100000000000001,0.05518439337252801,0.05518439337252806,0.030927835051546393,0.944815606627472
0.3200000000000001,0.048503474078033126,0.04850347407803314,0.030927835051546393,0.9514965259219669
0.3300000000000001,0.043425975414217,0.043425975414217,0.041237113402061855,0.956574024585783
0.34000000000000014,0.04123711340206182,0.038882950293960446,0.041237113402061855,0.9587628865979382
0.35000000000000014,0.04123711340206182,0.0344735435595938,0.041237113402061855,0.9587628865979382
0.36000000000000015,0.04123711340206182,0.03019775521111705,0.041237113402061855,0.9587628865979382
0.37000000000000016,0.04123711340206182,0.026590058792089793,0.041237113402061855,0.9587628865979382
0.38000000000000017,0.046391752577319534,0.02244788882950294,0.04639175257731959,0.9536082474226805
0.3900000000000002,0.046391752577319534,0.019107429182255477,0.04639175257731959,0.9536082474226805
0.4000000000000002,0.046391752577319534,0.016568679850347406,0.04639175257731959,0.9536082474226805
0.4100000000000002,0.05154639175257736,0.014965259219668627,0.05154639175257732,0.9484536082474226
0.4200000000000002,0.05154639175257736,0.012827365045430252,0.05154639175257732,0.9484536082474226
0.4300000000000002,0.06382978723404253,0.01122394441475147,0.06382978723404255,0.9361702127659575
0.4400000000000002,0.06382978723404253,0.009887760555852484,0.06382978723404255,0.9361702127659575
0.45000000000000023,0.07446808510638303,0.009086050240513094,0.07446808510638298,0.925531914893617
0.46000000000000024,0.07446808510638303,0.007349011223944415,0.07446808510638298,0.925531914893617
0.47000000000000025,0.07446808510638303,0.0062800641368252275,0.07446808510638298,0.925531914893617
0.48000000000000026,0.0957446808510638,0.005077498663816141,0.09574468085106383,0.9042553191489362
0.49000000000000027,0.1063829787234043,0.003874933190807055,0.10638297872340426,0.8936170212765957
0.5000000000000002,0.12765957446808507,0.0033404596472474614,0.1276595744680851,0.8723404255319149
0.5100000000000002,0.12765957446808507,0.002939604489577766,0.1276595744680851,0.8723404255319149
0.5200000000000002,0.13829787234042556,0.002939604489577766,0.13829787234042554,0.8617021276595744
0.5300000000000002,0.13829787234042556,0.002405130946018172,0.13829787234042554,0.8617021276595744
0.5400000000000003,0.13829787234042556,0.002137894174238375,0.13829787234042554,0.8617021276595744
0.5500000000000003,0.14893617021276595,0.00173703901656868,0.14893617021276595,0.851063829787234
0.5600000000000003,0.17021276595744683,0.0013361838588989846,0.1702127659574468,0.8297872340425532
0.5700000000000003,0.19148936170212771,0.0010689470871191875,0.19148936170212766,0.8085106382978723
0.5800000000000003,0.22340425531914898,0.0009353287012292892,0.22340425531914893,0.776595744680851
0.5900000000000003,0.26595744680851063,0.0009353287012292892,0.26595744680851063,0.7340425531914894
0.6000000000000003,0.26595744680851063,0.0006680919294494923,0.26595744680851063,0.7340425531914894
0.6100000000000003,0.276595744680851,0.0005344735435595938,0.2765957446808511,0.723404255319149
0.6200000000000003,0.3191489361702128,0.00040085515766969537,0.3191489361702128,0.6808510638297872
0.6300000000000003,0.32978723404255317,0.00040085515766969537,0.32978723404255317,0.6702127659574468
0.6400000000000003,0.35106382978723405,0.0002672367717797969,0.35106382978723405,0.648936170212766
0.6500000000000004,0.37234042553191493,0.0,0.3723404255319149,0.6276595744680851
0.6600000000000004,0.3936170212765957,0.0,0.39361702127659576,0.6063829787234043
0.6700000000000004,0.4148936170212766,0.0,0.4148936170212766,0.5851063829787234
0.6800000000000004,0.42553191489361697,0.0,0.425531914893617,0.574468085106383
0.6900000000000004,0.42553191489361697,0.0,0.425531914893617,0.574468085106383
0.7000000000000004,0.44680851063829785,0.0,0.44680851063829785,0.5531914893617021
0.7100000000000004,0.4787234042553191,0.0,0.4787234042553192,0.5212765957446809
0.7200000000000004,0.4893617021276596,0.0,0.48936170212765956,0.5106382978723404
0.7300000000000004,0.5319148936170213,0.0,0.5319148936170213,0.46808510638297873
0.7400000000000004,0.5615615615615616,0.0,0.5615615615615616,0.43843843843843844
0.7500000000000004,0.5945945945945945,0.0,0.5945945945945946,0.40540540540540543
0.7600000000000005,0.6276276276276276,0.0,0.6276276276276276,0.37237237237237236
0.7700000000000005,0.7272727272727273,0.0,0.7272727272727273,0.2727272727272727
0.7800000000000005,0.7575757575757576,0.0,0.7575757575757576,0.24242424242424243
0.7900000000000005,1.0,0.0,1.0,0.0
0.8000000000000005,1.0,0.0,1.0,0.0
0.8100000000000005,1.0,0.0,1.0,0.0
0.8200000000000005,1.0,0.0,1.0,0.0
0.8300000000000005,1.0,0.0,1.0,0.0
0.8400000000000005,1.0,0.0,1.0,0.0
0.8500000000000005,1.0,0.0,1.0,0.0
0.8600000000000005,1.0,0.0,1.0,0.0
0.8700000000000006,1.0,0.0,1.0,0.0
0.8800000000000006,1.0,0.0,1.0,0.0
0.8900000000000006,1.0,0.0,1.0,0.0
0.9000000000000006,1.0,0.0,1.0,0.0
