threshold,group,accuracy,fpr,fnr
0.2,A,0.9935691318327974,0.0,0.006430868167202572
0.2,B,1.0,0.0,0.0
0.2,C,0.998158379373849,0.0,0.001841620626151013
0.2,D,1.0,0.0,0.0
0.2,E,0.9929078014184397,0.0,0.0070921985815602835
0.2,F,1.0,0.0,0.0
0.2,G,1.0,0.0,0.0
0.2,H,1.0,0.0,0.0
0.2,I,1.0,0.0,0.0
0.2,J,1.0,0.0,0.0
0.2,K,1.0,0.0,0.0
0.2,L,0.9941002949852508,0.0,0.0058997050147492625
0.2,M,0.9921875,0.0,0.0078125
0.2,N,0.979381443298969,0.0,0.020618556701030927
0.2,O,1.0,0.0,0.0
0.2,P,1.0,0.0,0.0
0.2,Q,1.0,0.0,0.0
0.2,R,0.9977324263038548,0.0,0.0022675736961451248
0.2,S,0.9972222222222222,0.0,0.002777777777777778
0.2,T,0.9955654101995566,0.0,0.004434589800443459
0.2,U,1.0,0.0,0.0
0.2,V,1.0,0.0,0.0
0.2,W,0.9791666666666666,0.0,0.020833333333333332
0.2,X,1.0,0.0,0.0
0.2,Y,1.0,0.0,0.0
0.2,Z,1.0,0.0,0.0
0.2,mixed,0.8321753073222875,0.16782469267771247,0.0
0.21000000000000002,A,0.9935691318327974,0.0,0.006430868167202572
0.21000000000000002,B,1.0,0.0,0.0
0.21000000000000002,C,0.998158379373849,0.0,0.001841620626151013
0.21000000000000002,D,1.0,0.0,0.0
0.21000000000000002,E,0.9929078014184397,0.0,0.0070921985815602835
0.21000000000000002,F,1.0,0.0,0.0
0.21000000000000002,G,1.0,0.0,0.0
0.21000000000000002,H,1.0,0.0,0.0
0.21000000000000002,I,1.0,0.0,0.0
0.21000000000000002,J,1.0,0.0,0.0
0.21000000000000002,K,1.0,0.0,0.0
0.21000000000000002,L,0.9941002949852508,0.0,0.0058997050147492625
0.21000000000000002,M,0.9921875,0.0,0.0078125
0.21000000000000002,N,0.979381443298969,0.0,0.020618556701030927
0.21000000000000002,O,1.0,0.0,0.0
0.21000000000000002,P,1.0,0.0,0.0
0.21000000000000002,Q,1.0,0.0,0.0
0.21000000000000002,R,0.9977324263038548,0.0,0.0022675736961451248
0.21000000000000002,S,0.9972222222222222,0.0,0.002777777777777778
0.21000000000000002,T,0.9955654101995566,0.0,0.004434589800443459
0.21000000000000002,U,1.0,0.0,0.0
0.21000000000000002,V,1.0,0.0,0.0
0.21000000000000002,W,0.9791666666666666,0.0,0.020833333333333332
0.21000000000000002,X,1.0,0.0,0.0
0.21000000000000002,Y,1.0,0.0,0.0
0.21000000000000002,Z,1.0,0.0,0.0
0.21000000000000002,mixed,0.8455371459112774,0.1544628540887226,0.0
0.22000000000000003,A,0.9935691318327974,0.0,0.006430868167202572
0.22000000000000003,B,1.0,0.0,0.0
0.22000000000000003,C,0.996316758747698,0.0,0.003683241252302026
0.22000000000000003,D,1.0,0.0,0.0
0.22000000000000003,E,0.9929078014184397,0.0,0.0070921985815602835
0.22000000000000003,F,1.0,0.0,0.0
0.22000000000000003,G,1.0,0.0,0.0
0.22000000000000003,H,1.0,0.0,0.0
0.22000000000000003,I,1.0,0.0,0.0
0.22000000000000003,J,1.0,0.0,0.0
0.22000000000000003,K,1.0,0.0,0.0
0.22000000000000003,L,0.9941002949852508,0.0,0.0058997050147492625
0.22000000000000003,M,0.9921875,0.0,0.0078125
0.22000000000000003,N,0.979381443298969,0.0,0.020618556701030927
0.22000000000000003,O,1.0,0.0,0.0
0.22000000000000003,P,1.0,0.0,0.0
0.22000000000000003,Q,1.0,0.0,0.0
0.22000000000000003,R,0.9954648526077098,0.0,0.0045351473922902496
0.22000000000000003,S,0.9972222222222222,0.0,0.002777777777777778
0.22000000000000003,T,0.9955654101995566,0.0,0.004434589800443459
0.22000000000000003,U,1.0,0.0,0.0
0.22000000000000003,V,1.0,0.0,0.0
0.22000000000000003,W,0.9791666666666666,0.0,0.020833333333333332
0.22000000000000003,X,1.0,0.0,0.0
0.22000000000000003,Y,1.0,0.0,0.0
0.22000000000000003,Z,1.0,0.0,0.0
0.22000000000000003,mixed,0.8607696419027259,0.1392303580972742,0.0
0.23000000000000004,A,0.9919614147909968,0.0,0.008038585209003215
0.23000000000000004,B,1.0,0.0,0.0
0.23000000000000004,C,0.996316758747698,0.0,0.003683241252302026
0.23000000000000004,D,0.996996996996997,0.0,0.003003003003003003
