threshold,value_disagreement,rank_disagreement,fdi
0.2,0.6666666666666666,1.3333333333333333,1.0
0.21,0.6166666666666686,1.5,1.0583333333333342
0.22,0.5304269547325112,1.5,1.0152134773662556
0.23,0.5054269547325091,1.5,1.0027134773662545
0.24,0.49709362139917296,1.5,0.9985468106995865
0.25,0.48042695473250685,1.5,0.9902134773662534
0.26,0.48804012345679015,1.5,0.9940200617283951
0.2700000000000001,0.48804012345679015,1.5,0.9940200617283951
0.2800000000000001,0.48804012345679015,1.5,0.9940200617283951
0.2900000000000001,0.46682098765432095,1.5,0.9834104938271605
0.3000000000000001,0.46682098765432095,1.5,0.9834104938271605
0.3100000000000001,0.46682098765432095,1.5,0.9834104938271605
0.3200000000000001,0.46682098765432095,1.5,0.9834104938271605
0.3300000000000001,0.46682098765432095,1.5,0.9834104938271605
0.3400000000000001,0.46682098765432095,1.5,0.9834104938271605
0.3500000000000001,0.46682098765432095,1.5,0.9834104938271605
0.3600000000000001,0.46682098765432095,1.5,0.9834104938271605
0.3700000000000001,0.46682098765432095,1.5,0.9834104938271605
0.3800000000000001,0.46682098765432095,1.5,0.9834104938271605
0.3900000000000002,0.46682098765432095,1.5,0.9834104938271605
0.4000000000000002,0.46682098765432095,1.5,0.9834104938271605
0.4100000000000002,0.44560185185185186,1.5,0.9728009259259259
0.4200000000000002,0.44560185185185186,1.5,0.9728009259259259
0.4300000000000002,0.44560185185185186,1.5,0.9728009259259259
0.4400000000000002,0.4435483870967742,1.5,0.9717741935483871
0.4500000000000002,0.4271206690561529,1.5,0.9635603345280764
0.4600000000000002,0.41377314814814814,1.5,0.9568865740740741
0.4700000000000002,0.3978587962962963,1.5,0.9489293981481481
0.4800000000000002,0.3978587962962963,1.5,0.9489293981481481
0.4900000000000002,0.3978587962962963,1.5,0.9489293981481481
0.5000000000000002,0.3819444444444444,1.5,0.9409722222222222
0.5100000000000002,0.3819444444444444,1.5,0.9409722222222222
0.5200000000000002,0.31828703703703703,1.5,0.9091435185185185
0.5300000000000002,0.31828703703703703,1.5,0.9091435185185185
0.5400000000000003,0.31828703703703703,1.5,0.9091435185185185
0.5500000000000003,0.31828703703703703,1.5,0.9091435185185185
0.5600000000000003,0.31760254878534444,1.5,0.9088012743926722
0.5700000000000003,0.2847471127041019,1.6666666666666667,0.9757068896853843
0.5800000000000003,0.2628434886499402,1.5,0.8814217443249701
0.5900000000000003,0.2518916766228594,1.5,0.8759458383114297
0.6000000000000003,0.2742267356962698,1.5,0.8871133678481349
0.6100000000000003,0.3198592858091066,1.6666666666666667,0.9932629762378866
0.6200000000000003,0.32898579583167403,1.5,0.914492897915837
0.6300000000000003,0.3472388158768087,1.5,0.9236194079384044
0.6400000000000003,0.3746183459445109,1.5,0.9373091729722555
0.6500000000000004,0.41112438603478035,1.5,0.9555621930173902
0.6600000000000004,0.4567569361476172,1.5,0.9783784680738086
0.6700000000000004,0.46090534979423875,1.5,0.9804526748971194
0.6800000000000004,0.4867283950617285,1.5,0.9933641975308642
0.6900000000000004,0.5174897119341564,1.5,1.0087448559670782
0.7000000000000004,0.5380658436213993,1.5,1.0190329218106997
0.7100000000000004,0.5740740740740741,1.5,1.037037037037037
0.7200000000000004,0.5792181069958847,1.5,1.0396090534979423
0.7300000000000004,0.6004509237369756,1.5,1.0502254618684879
0.7400000000000004,0.6119076065312625,1.5,1.0559538032656313
0.7500000000000004,0.6666666666666666,1.3333333333333333,1.0
0.7600000000000005,0.6666666666666666,1.3333333333333333,1.0
0.7700000000000005,0.6666666666666666,1.3333333333333333,1.0
0.7800000000000005,0.6666666666666666,1.3333333333333333,1.0
0.7900000000000005,0.6666666666666666,1.3333333333333333,1.0
0.8000000000000005,0.6666666666666666,1.3333333333333333,1.0
0.8100000000000005,0.6666666666666666,1.3333333333333333,1.0
0.8200000000000005,0.6666666666666666,1.3333333333333333,1.0
0.8300000000000005,0.6666666666666666,1.3333333333333333,1.0
0.8400000000000005,0.6666666666666666,1.3333333333333333,1.0
0.8500000000000005,0.6666666666666666,1.3333333333333333,1.0
0.8600000000000005,0.6666666666666666,1.3333333333333333,1.0
0.8700000000000006,0.6666666666666666,1.3333333333333333,1.0
0.8800000000000006,0.6666666666666666,1.3333333333333333,1.0
0.8900000000000006,0.6666666666666666,1.3333333333333333,1.0
0.9000000000000006,0.6666666666666666,1.3333333333333333,1.0
