threshold,accuracy_disparity,fpr_disparity,fnr_disparity,worst_group_accuracy
0.2,0.018181818181818188,0.0026914278024491992,0.01818181818181818,0.9818181818181818
0.21000000000000002,0.018181818181818188,0.0018839994617144396,0.01818181818181818,0.9818181818181818
0.22000000000000003,0.04166666666666663,0.0009419997308572198,0.041666666666666664,0.9583333333333334
0.23000000000000004,0.04166666666666663,0.0005382855604898399,0.041666666666666664,0.9583333333333334
0.24000000000000005,0.04166666666666663,0.0004037141703673799,0.041666666666666664,0.9583333333333334
0.25000000000000006,0.04166666666666663,0.00013457139012245997,0.041666666666666664,0.9583333333333334
0.26000000000000006,0.04166666666666663,0.0,0.041666666666666664,0.9583333333333334
0.2700000000000001,0.04166666666666663,0.0,0.041666666666666664,0.9583333333333334
0.2800000000000001,0.04166666666666663,0.0,0.041666666666666664,0.9583333333333334
0.2900000000000001,0.08333333333333337,0.0,0.08333333333333333,0.9166666666666666
0.3000000000000001,0.08333333333333337,0.0,0.08333333333333333,0.9166666666666666
0.3100000000000001,0.08333333333333337,0.0,0.08333333333333333,0.9166666666666666
0.3200000000000001,0.08333333333333337,0.0,0.08333333333333333,0.9166666666666666
0.3300000000000001,0.08333333333333337,0.0,0.08333333333333333,0.9166666666666666
0.34000000000000014,0.08333333333333337,0.0,0.08333333333333333,0.9166666666666666
0.35000000000000014,0.08333333333333337,0.0,0.08333333333333333,0.9166666666666666
0.36000000000000015,0.08333333333333337,0.0,0.08333333333333333,0.9166666666666666
0.37000000000000016,0.08333333333333337,0.0,0.08333333333333333,0.9166666666666666
0.38000000000000017,0.08333333333333337,0.0,0.08333333333333333,0.9166666666666666
0.3900000000000002,0.08333333333333337,0.0,0.08333333333333333,0.9166666666666666
0.4000000000000002,0.08333333333333337,0.0,0.08333333333333333,0.9166666666666666
0.4100000000000002,0.125,0.0,0.125,0.875
0.4200000000000002,0.125,0.0,0.125,0.875
0.4300000000000002,0.125,0.0,0.125,0.875
0.4400000000000002,0.12903225806451613,0.0,0.12903225806451613,0.8709677419354839
0.45000000000000023,0.16129032258064513,0.0,0.16129032258064516,0.8387096774193549
0.46000000000000024,0.1875,0.0,0.1875,0.8125
0.47000000000000025,0.21875,0.0,0.21875,0.78125
0.48000000000000026,0.21875,0.0,0.21875,0.78125
0.49000000000000027,0.21875,0.0,0.21875,0.78125
0.5000000000000002,0.25,0.0,0.25,0.75
0.5100000000000002,0.25,0.0,0.25,0.75
0.5200000000000002,0.375,0.0,0.375,0.625
0.5300000000000002,0.375,0.0,0.375,0.625
0.5400000000000003,0.375,0.0,0.375,0.625
0.5500000000000003,0.375,0.0,0.375,0.625
0.5600000000000003,0.3763440860215054,0.0,0.3763440860215054,0.6236559139784946
0.5700000000000003,0.4408602150537635,0.0,0.44086021505376344,0.5591397849462365
0.5800000000000003,0.4838709677419355,0.0,0.4838709677419355,0.5161290322580645
0.5900000000000003,0.5053763440860215,0.0,0.5053763440860215,0.4946236559139785
0.6000000000000003,0.5376344086021505,0.0,0.5376344086021505,0.46236559139784944
0.6100000000000003,0.5913978494623655,0.0,0.5913978494623656,0.40860215053763443
0.6200000000000003,0.6021505376344086,0.0,0.6021505376344086,0.3978494623655914
0.6300000000000003,0.6236559139784946,0.0,0.6236559139784946,0.3763440860215054
0.6400000000000003,0.6559139784946236,0.0,0.6559139784946236,0.34408602150537637
0.6500000000000004,0.6989247311827957,0.0,0.6989247311827957,0.3010752688172043
0.6600000000000004,0.7526881720430108,0.0,0.7526881720430108,0.24731182795698925
0.6700000000000004,0.7575757575757576,0.0,0.7575757575757576,0.24242424242424243
0.6800000000000004,0.788,0.0,0.788,0.212
0.6900000000000004,0.8242424242424242,0.0,0.8242424242424242,0.17575757575757575
0.7000000000000004,0.8484848484848485,0.0,0.8484848484848485,0.15151515151515152
0.7100000000000004,0.8909090909090909,0.0,0.8909090909090909,0.10909090909090909
0.7200000000000004,0.896969696969697,0.0,0.896969696969697,0.10303030303030303
0.7300000000000004,0.9219858156028369,0.0,0.9219858156028369,0.07801418439716312
0.7400000000000004,0.935483870967742,0.0,0.9354838709677419,0.06451612903225806
0.7500000000000004,1.0,0.0,1.0,0.0
0.7600000000000005,1.0,0.0,1.0,0.0
0.7700000000000005,1.0,0.0,1.0,0.0
0.7800000000000005,1.0,0.0,1.0,0.0
0.7900000000000005,1.0,0.0,1.0,0.0
0.8000000000000005,1.0,0.0,1.0,0.0
0.8100000000000005,1.0,0.0,1.0,0.0
0.8200000000000005,1.0,0.0,1.0,0.0
0.8300000000000005,1.0,0.0,1.0,0.0
0.8400000000000005,1.0,0.0,1.0,0.0
0.8500000000000005,1.0,0.0,1.0,0.0
0.8600000000000005,1.0,0.0,1.0,0.0
0.8700000000000006,1.0,0.0,1.0,0.0
0.8800000000000006,1.0,0.0,1.0,0.0
0.8900000000000006,1.0,0.0,1.0,0.0
0.9000000000000006,1.0,0.0,1.0,0.0
